
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年01月01日","2026年06月23日","90","1","90"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/20","グローバルＸ　超短期円建て債券　ＥＴＦ","502A","東証",株式現物買,"--"," 一般 ","--",650,901.1,--,--,"2026/04/22",585715
"2026/04/23","ヒット","378A","東証",株式現物買,"--"," 一般 ","--",100,2399,--,--,"2026/04/27",239900
"2026/04/24","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",100,8070,--,--,"2026/04/28",807000
"2026/04/24","京成電鉄","9009","東証",株式現物買,"--"," 一般 ","--",1000,1157,--,--,"2026/04/28",1157000
"2026/04/27","ソニーフィナンシャルグループ","8729","東証",株式現物買,"--"," 一般 ","--",20000,131.2,--,--,"2026/04/30",2624000
"2026/04/30","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",200,7920,--,--,"2026/05/07",1584000
"2026/04/30","ジャフコ　グループ","8595","東証",株式現物買,"--"," 一般 ","--",400,2160,--,--,"2026/05/07",864000
"2026/05/07","ソニーグループ","6758","東証",株式現物買,"--"," 一般 ","--",300,3172,--,--,"2026/05/11",951600
"2026/05/18","日産自動車","7201","PTS（X）",株式現物買,"--"," 一般 ","--",200,355.3,--,--,"2026/05/20",71060
"2026/05/18","日産自動車","7201","PTS（J）",株式現物買,"--"," 一般 ","--",300,355.3,--,--,"2026/05/20",106590
"2026/05/18","日産自動車","7201","PTS（O）",株式現物買,"--"," 一般 ","--",200,355.3,--,--,"2026/05/20",71060
"2026/05/18","日産自動車","7201","東証",株式現物買,"--"," 一般 ","--",1800,355.3,--,--,"2026/05/20",639540
"2026/05/18","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",200,7172,--,--,"2026/05/20",1434400
"2026/05/19","テルモ","4543","東証",株式現物売,"--"," 一般 ","--",300,2324,--,--,"2026/05/21",697200
"2026/05/20","ソニーグループ","6758","PTS（X）",株式現物買,"--"," 一般 ","--",300,3604.5,--,--,"2026/05/22",1081350
"2026/05/21","ソニーグループ","6758","東証",株式現物買,"--"," 一般 ","--",300,3594,--,--,"2026/05/25",1078200
"2026/05/25","ヤクルト本社","2267","PTS（X）",株式現物売,"--"," 一般 ","--",200,2759,--,--,"2026/05/27",551800
"2026/05/25","ヤクルト本社","2267","PTS（X）",株式現物売,"--"," 一般 ","--",100,2759.2,--,--,"2026/05/27",275920
"2026/05/25","ヤクルト本社","2267","東証",株式現物売,"--"," 一般 ","--",300,2759,--,--,"2026/05/27",827700
"2026/05/25","ヤクルト本社","2267","PTS（X）",株式現物売,"--"," 一般 ","--",100,2759.1,--,--,"2026/05/27",275910
"2026/05/25","ヤクルト本社","2267","PTS（O）",株式現物売,"--"," 一般 ","--",200,2759.1,--,--,"2026/05/27",551820
"2026/05/25","ヤクルト本社","2267","PTS（O）",株式現物売,"--"," 一般 ","--",100,2759.2,--,--,"2026/05/27",275920
"2026/05/25","ジャフコ　グループ","8595","東証",株式現物売,"--"," 一般 ","--",100,2269,--,--,"2026/05/27",226900
"2026/05/25","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",200,7055,--,--,"2026/05/27",1411000
"2026/05/25","任天堂","7974","PTS（X）",株式現物買,"--"," 一般 ","--",100,7058.9,--,--,"2026/05/27",705890
"2026/05/25","任天堂","7974","PTS（X）",株式現物買,"--"," 一般 ","--",300,7058,--,--,"2026/05/27",2117400
"2026/05/25","グローバルＸ　超短期円建て債券　ＥＴＦ","502A","東証",株式現物売,"--"," 一般 ","--",1000,901.6,--,--,"2026/05/27",901600
"2026/05/26","任天堂","7974","東証（外）",株式現物買,"--"," 一般 ","--",100,7068.9,--,--,"2026/05/28",706890
"2026/05/26","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",200,7100,--,--,"2026/05/28",1420000
"2026/05/26","グローバルＸ　超短期円建て債券　ＥＴＦ","502A","東証",株式現物売,"--"," 一般 ","--",1500,901.6,--,--,"2026/05/28",1352400
"2026/05/27","ソニーフィナンシャルグループ","8729","東証（外）",株式現物売,"--"," 一般 ","--",1600,141.9,--,--,"2026/05/29",227040
"2026/05/27","ソニーフィナンシャルグループ","8729","PTS（X）",株式現物売,"--"," 一般 ","--",18400,141.9,--,--,"2026/05/29",2610960
"2026/05/27","京成電鉄","9009","東証",株式現物売,"--"," 一般 ","--",1000,1059,--,--,"2026/05/29",1059000
"2026/05/27","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",100,7074,--,--,"2026/05/29",707400
"2026/05/27","任天堂","7974","PTS（X）",株式現物買,"--"," 一般 ","--",200,7131.8,--,--,"2026/05/29",1426360
"2026/05/27","任天堂","7974","PTS（X）",株式現物買,"--"," 一般 ","--",100,7108.5,--,--,"2026/05/29",710850
"2026/05/27","任天堂","7974","PTS（X）",株式現物買,"--"," 一般 ","--",200,7131.7,--,--,"2026/05/29",1426340
"2026/06/02","住友林業","1911","東証",株式現物買,"--"," 一般 ","--",300,1278,--,--,"2026/06/04",383400
"2026/06/15","ジャフコ　グループ","8595","PTS（X）",株式現物売,"--"," 一般 ","--",100,2239.4,--,--,"2026/06/17",223940
"2026/06/15","ジャフコ　グループ","8595","PTS（X）",株式現物売,"--"," 一般 ","--",100,2239.2,--,--,"2026/06/17",223920
"2026/06/15","ジャフコ　グループ","8595","PTS（X）",株式現物売,"--"," 一般 ","--",200,2239.3,--,--,"2026/06/17",447860
"2026/06/15","任天堂","7974","東証",株式現物買,"--"," 一般 ","--",100,7098,--,--,"2026/06/17",709800
"2026/06/17","ソニーグループ","6758","東証",株式現物買,"--"," 一般 ","--",100,3282,--,--,"2026/06/19",328200
"2026/06/17","中央製作所","6846","名証",株式現物買,"--"," 一般 ","--",100,1355,--,--,"2026/06/19",135500


